Symbol,Company,Sector,Industry
A,,,
AA,,,
AAL,American Airlines Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
AAON,AAON Inc. Common Stock,Industrials,Industrial Machinery/Components
AAP,,,
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing
ABBV,,,
ABCM,Abcam plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,Hotels/Resorts
ABT,,,
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care,Hospital/Nursing Management
ACI,,,
ACLS,Axcelis Technologies Inc. Common Stock,Technology,Industrial Machinery/Components
ACM,,,
ACN,,,
ACT,Enact Holdings Inc. Common Stock,Finance,Specialty Insurers
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors
ADM,,,
ADP,Automatic Data Processing Inc. Common Stock,Consumer Discretionary,Business Services
ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ADT,,,
AEE,,,
AEIS,Advanced Energy Industries Inc. Common Stock,Consumer Discretionary,Electrical Products
AEP,American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central
AES,,,
AFG,,,
AFL,,,
AFRM,,,
AGCO,,,
AGL,,,
AGNC,AGNC Investment Corp. Common Stock,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGO,,,
AGR,,,
AIG,,,
AIRC,,,
AIZ,,,
AJG,,,
AKAM,Akamai Technologies Inc. Common Stock,Consumer Discretionary,Business Services
AL,,,
ALB,,,
ALGM,Allegro MicroSystems Inc. Common Stock,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,Health Care,Industrial Specialties
ALK,,,
ALKS,Alkermes plc Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
ALL,,,
ALLE,,,
ALLY,,,
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALSN,,,
ALTR,Altair Engineering Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
AM,,,
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors
AMCR,,,
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors
AME,,,
AMG,,,
AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AMH,,,
AMKR,Amkor Technology Inc. Common Stock,Technology,Semiconductors
AMP,,,
AMT,,,
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
AN,,,
ANET,,,
ANSS,ANSYS Inc. Common Stock,Technology,Computer Software: Prepackaged Software
AON,,,
AOS,,,
APA,APA Corporation Common Stock,Energy,Oil & Gas Production
APD,,,
APH,,,
APLS,Apellis Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
APO,,,
APP,Applovin Corporation Class A Common Stock,Technology,EDP Services
APPF,AppFolio Inc. Class A Common Stock,Technology,EDP Services
APTV,,,
AR,,,
ARCC,Ares Capital Corporation Common Stock,Finance,Finance/Investors Services
ARE,,,
ARES,,,
ARGX,argenx SE American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARM,,,
ARMK,,,
ARW,,,
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ASH,,,
ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components
ASND,Ascendis Pharma A/S American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
ASO,Academy Sports and Outdoors Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
ATO,,,
ATR,,,
AVB,,,
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors
AVT,Avnet Inc. Common Stock,Technology,Electronic Components
AVTR,,,
AVY,,,
AWI,,,
AWK,,,
AXON,Axon Enterprise Inc. Common Stock,Consumer Discretionary,Military/Government/Technical
AXP,,,
AXS,,,
AXSM,Axsome Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AXTA,,,
AYI,,,
AYX,,,
AZEK,,,
AZN,AstraZeneca PLC American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
AZO,,,
AZPN,Aspen Technology Inc. Common Stock,Technology,EDP Services
AZTA,,,
BA,,,
BAC,,,
BAH,,,
BALL,,,
BAX,,,
BBWI,,,
BBY,,,
BC,,,
BCPC,Balchem Corporation Common Stock,Industrials,Industrial Specialties
BDX,,,
BECN,Beacon Roofing Supply Inc. Common Stock,Consumer Discretionary,Wholesale Distributors
BEN,,,
BEPC,,,
BERY,,,
BF-A,,,
BFAM,,,
BF-B,,,
BG,,,
BGNE,BeiGene Ltd. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
BHP,,,
BIDU,Baidu Inc. ADS,Technology,Computer Software: Programming Data Processing
BIIB,Biogen Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BILI,Bilibili Inc. American Depositary Shares,Technology,EDP Services
BILL,,,
BIO,,,
BJ,,,
BK,,,
BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,Other Consumer Services
BKR,Baker Hughes Company Class A Common Stock,Energy,Oilfield Services/Equipment
BL,BlackLine Inc. Common Stock,Technology,Computer Software: Prepackaged Software
BLD,,,
BLDR,,,
BLK,,,
BLKB,Blackbaud Inc. Common Stock,Technology,Computer Software: Prepackaged Software
BMBL,Bumble Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BMRN,BioMarin Pharmaceutical Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BMY,,,
BNTX,BioNTech SE American Depositary Share,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BOKF,BOK Financial Corporation Common Stock,Finance,Major Banks
BPMC,Blueprint Medicines Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BPOP,Popular Inc. Common Stock,Finance,Major Banks
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,Finance,Real Estate
BR,,,
BRK-B,,,
BRKR,Bruker Corporation Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
BRO,,,
BRX,,,
BSY,Bentley Systems Incorporated Class B Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
BURL,,,
BWA,,,
BWXT,,,
BX,,,
BXP,,,
BYD,,,
BZ,KANZHUN LIMITED American Depository Shares,Technology,Computer Software: Programming Data Processing
C,,,
CABO,,,
CACC,Credit Acceptance Corporation Common Stock,Finance,Finance: Consumer Services
CACI,,,
CAG,,,
CAH,,,
CAR,Avis Budget Group Inc. Common Stock,Consumer Discretionary,Rental/Leasing Companies
CARR,,,
CASY,Casey's General Stores Inc. Common Stock,Miscellaneous,Diversified Commercial Services
CAT,,,
CB,,,
CBOE,,,
CBRE,,,
CBSH,Commerce Bancshares Inc. Common Stock,Finance,Major Banks
CC,,,
CCCS,CCC Intelligent Solutions Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,Consumer Staples,Beverages (Production/Distribution)
CCI,,,
CCK,,,
CCL,,,
CCJ,,,
CCOI,Cogent Communications Holdings Inc.,Consumer Discretionary,Telecommunications Equipment
CDAY,,,
CDNS,Cadence Design Systems Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
CE,,,
CEG,Constellation Energy Corporation Common Stock ,Utilities,Power Generation
CELH,Celsius Holdings Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
CERE,Cerevel Therapeutics Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CERT,Certara Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
CF,,,
CFG,,,
CFLT,Confluent Inc. Class A Common Stock,Technology,EDP Services
CFR,,,
CG,The Carlyle Group Inc. Common Stock,Finance,Investment Managers
CGNX,Cognex Corporation Common Stock,Industrials,Industrial Machinery/Components
CHD,,,
CHDN,Churchill Downs Incorporated Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
CHE,,,
CHH,,,
CHK,Chesapeake Energy Corporation Common Stock,Energy,Oil & Gas Production
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,Technology,Computer Software: Prepackaged Software
CHPT,,,
CHRD,Chord Energy Corporation Common Stock,Energy,Oil & Gas Production
CHRW,C.H. Robinson Worldwide Inc. Common Stock,Consumer Discretionary,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,Consumer Discretionary,Telecommunications Equipment
CHX,ChampionX Corporation Common Stock ,Industrials,Construction/Ag Equipment/Trucks
CI,,,
CIEN,,,
CIGI,Colliers International Group Inc. Subordinate Voting Shares,,
CINF,Cincinnati Financial Corporation Common Stock,Finance,Property-Casualty Insurers
CL,,,
CLF,,,
CLH,,,
CLVT,,,
CLX,,,
CMA,,,
CMCSA,Comcast Corporation Class A Common Stock,Consumer Discretionary,Telecommunications Equipment
CME,CME Group Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service
CMG,,,
CMI,,,
CMS,,,
CNA,,,
CNC,,,
CNM,,,
CNP,,,
CNXC,Concentrix Corporation Common Stock,Technology,Computer Software: Prepackaged Software
COF,,,
COHR,,,
COIN,Coinbase Global Inc. Class A Common Stock,Technology,EDP Services
COKE,Coca-Cola Consolidated Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
COLB,Columbia Banking System Inc. Common Stock,Finance,Major Banks
COLD,,,
COLM,Columbia Sportswear Company Common Stock,Consumer Discretionary,Apparel
COO,,,
COOP,Mr. Cooper Group Inc. Common Stock,Finance,Finance: Consumer Services
COP,,,
COST,Costco Wholesale Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
COTY,,,
CPA,,,
CPB,,,
CPRI,,,
CPRT,Copart Inc. (DE) Common Stock,Consumer Discretionary,Other Specialty Stores
CPT,,,
CR,,,
CRL,,,
CRM,,,
CROX,Crocs Inc. Common Stock,Consumer Discretionary,Shoe Manufacturing
CRSP,CRISPR Therapeutics AG Common Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRUS,Cirrus Logic Inc. Common Stock,Technology,Semiconductors
CRVL,CorVel Corp. Common Stock,Finance,Specialty Insurers
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),Telecommunications,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,Finance,Real Estate
CSL,,,
CSX,CSX Corporation Common Stock,Industrials,Railroads
CTAS,Cintas Corporation Common Stock,Consumer Discretionary,Business Services
CTLT,,,
CTRA,,,
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,Technology,EDP Services
CTVA,,,
CUBE,,,
CUZ,,,
CVS,,,
CVX,,,
CW,,,
CWST,Casella Waste Systems Inc. Class A Common Stock,Utilities,Environmental Services
CYBR,CyberArk Software Ltd. Ordinary Shares,Technology,Computer Software: Prepackaged Software
CYTK,Cytokinetics Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CZR,Caesars Entertainment Inc. Common Stock,Consumer Discretionary,Hotels/Resorts
D,,,
DAL,,,
DAR,,,
DASH,,,
DBX,Dropbox Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
DCI,,,
DD,,,
DDOG,Datadog Inc. Class A Common Stock,Technology,EDP Services
DE,,,
DECK,,,
DELL,,,
DFS,,,
DG,,,
DGX,,,
DHI,,,
DHR,,,
DINO,,,
DIOD,Diodes Incorporated Common Stock,Technology,Semiconductors
DIS,,,
DISH,DISH Network Corporation Class A Common Stock,Consumer Discretionary,Telecommunications Equipment
DKNG,DraftKings Inc. Class A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
DKS,,,
DLB,,,
DLO,DLocal Limited Class A Common Shares,Consumer Discretionary,Business Services
DLR,,,
DLTR,Dollar Tree Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
DNB,,,
DNLI,Denali Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DOCS,,,
DOCU,DocuSign Inc. Common Stock,Technology,EDP Services
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,,
DOV,,,
DOW,,,
DOX,Amdocs Limited Ordinary Shares,Technology,EDP Services
DPZ,,,
DRI,,,
DRS,Leonardo DRS Inc. Common Stock,Industrials,Military/Government/Technical
DRVN,Driven Brands Holdings Inc. Common Stock,,
DSGX,Descartes Systems Group Inc. (The) Common Stock,,
DT,,,
DTE,,,
DTM,,,
DUK,,,
DUOL,Duolingo Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
DV,,,
DVA,,,
DVN,,,
DXC,,,
DXCM,DexCom Inc. Common Stock,Health Care,Medical Specialities
EA,Electronic Arts Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
EBAY,eBay Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
ECL,,,
ED,,,
EEFT,Euronet Worldwide Inc. Common Stock,Technology,EDP Services
EFX,,,
EGP,,,
EHC,,,
EIX,,,
EL,,,
ELAN,,,
ELS,,,
ELV,,,
EMN,,,
EMR,,,
ENPH,Enphase Energy Inc. Common Stock,Technology,Electrical Products
ENSG,The Ensign Group Inc. Common Stock,Health Care,Hospital/Nursing Management
ENTG,Entegris Inc. Common Stock,Technology,Semiconductors
EOG,,,
EPAM,,,
EQH,,,
EQIX,Equinix Inc. Common Stock REIT,Real Estate,Real Estate Investment Trusts
EQR,,,
EQT,,,
ERIC,Ericsson American Depositary Shares,Technology,Computer Software: Prepackaged Software
ERIE,Erie Indemnity Company Class A Common Stock,Finance,Specialty Insurers
ES,,,
ESAB,,,
ESGR,Enstar Group Limited Ordinary Shares,Finance,Property-Casualty Insurers
ESGRO,Enstar Group Limited Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares Series E,Finance,Property-Casualty Insurers
ESGRP,Enstar Group Limited Depositary Shares Each Representing 1/1000th of an interest in Preference Shares,Finance,Property-Casualty Insurers
ESI,,,
